strain_name	virus	NCBI_code	host	AustralianState_city	year_month_day	lat	long	Genotype
SINV|OK491675|K54389|Cx_annulirostris|WA_Kununurra|2004_03_24	SINV	OK491675	Cx_annulirostris	WA_Kununurra	2004-03-24	-15.76	128.72	G3C
SINV|OK491676|K54821|Cx_annulirostris|WA_Billiluna|2004_03_27	SINV	OK491676	Cx_annulirostris	WA_Billiluna	2004-03-27	-19.56	127.69	G3C
SINV|OK491677|K55165|Cx_annulirostris|WA_Broome|2004_03_30	SINV	OK491677	Cx_annulirostris	WA_Broome	2004-03-30	-17.97	122.23	G3C
SINV|OK491678|K73164|Cx_annulirostris|WA_Derby|2011_03_31	SINV	OK491678	Cx_annulirostris	WA_Derby	2011-03-31	-17.33	123.66	G3C
SINV|OK491679|K73728|Cx_annulirostris|WA_FitzroyCrossing|2011_04_01	SINV	OK491679	Cx_annulirostris	WA_FitzroyCrossing	2011-04-01	-18.20	125.57	G3C
SINV|OK491680|K74109|Cx_spp|WA_HallsCreek|2011_04_02	SINV	OK491680	Cx_spp	WA_HallsCreek	2011-04-02	-18.22	127.67	G3C
SINV|OK491699|P9369|Cx_annulirostris|WA_PortHedland|2007_04_25	SINV	OK491699	Cx_annulirostris	WA_PortHedland	2007-04-25	-20.32	118.62	G3C
SINV|OK491700|PNG6910|Midge|PNG_Balimo|1998	SINV	OK491700	Midge	PNG_Balimo	1998	-8.01	142.90	G3C
SINV|OK491701|PNG6940|Midge|PNG_Balimo|1998	SINV	OK491701	Midge	PNG_Balimo	1998	-8.01	142.90	G3C
SINV|OK491702|PNG6952|Midge|PNG_Balimo|1998	SINV	OK491702	Midge	PNG_Balimo	1998	-8.01	142.90	G3C
SINV|OK491703|PNG8735|Midge|PNG_Balimo|1998	SINV	OK491703	Midge	PNG_Balimo	1998	-8.01	142.90	G3C
SINV|OK491704|PNG8740|Midge|PNG_Balimo|1998	SINV	OK491704	Midge	PNG_Balimo	1998	-8.01	142.90	G3C
SINV|OL856082|TS_20_17|Cx_sitiens|TS_Badu|1998	SINV	OL856082	Cx_sitiens	TS_Badu	1998	-10.16	142.16	G3C
SINV|OL856083|TS_20_24|Cx_sitiens|TS_Badu|1998	SINV	OL856083	Cx_sitiens	TS_Badu	1998	-10.16	142.16	G3C
